testScore,bodyLength,mountainRange,X,site
16.14730946,165.5485196,Bavarian,NA,a
33.88618347,167.5593135,Bavarian,NA,a
6.038332941,165.8829517,Bavarian,NA,a
18.83882129,167.6855249,Bavarian,NA,a
33.8623279,169.9596807,Bavarian,NA,a
47.04324591,168.6887472,Bavarian,NA,a
2.557890462,169.6193817,Bavarian,NA,a
3.875730463,164.4162728,Bavarian,NA,a
3.597529521,167.5104297,Bavarian,NA,a
7.358564754,179.606068,Bavarian,NA,a
40.40038616,174.4654852,Bavarian,NA,a
37.79467814,164.7812478,Bavarian,NA,a
22.96415236,172.5594668,Bavarian,NA,a
3.282949428,179.0007743,Bavarian,NA,a
18.44280114,175.9704091,Bavarian,NA,a
16.28513065,170.8193187,Bavarian,NA,a
20.10853686,170.0534398,Bavarian,NA,a
20.24258963,171.0932718,Bavarian,NA,a
26.61791119,166.9571182,Bavarian,NA,a
18.46775404,169.7708317,Bavarian,NA,a
46.43277822,177.1744436,Bavarian,NA,b
20.48980395,170.6868505,Bavarian,NA,b
18.45276701,176.7402672,Bavarian,NA,b
20.48422948,182.921515,Bavarian,NA,b
25.2012758,182.3539525,Bavarian,NA,b
12.45363499,183.0819313,Bavarian,NA,b
29.79512725,182.1753313,Bavarian,NA,b
0,175.5122137,Bavarian,NA,b
27.10772116,173.5323951,Bavarian,NA,b
4.582095447,174.2216996,Bavarian,NA,b
16.17675802,174.8399351,Bavarian,NA,b
24.14801734,180.0634457,Bavarian,NA,b
0.74291384,190.6409588,Bavarian,NA,b
2.501824711,169.7087779,Bavarian,NA,b
22.56301439,179.5743569,Bavarian,NA,b
3.380430108,188.8472039,Bavarian,NA,b
37.34032341,173.2164322,Bavarian,NA,b
44.75108351,179.4239913,Bavarian,NA,b
16.24916411,182.8767077,Bavarian,NA,b
16.85241954,177.82055,Bavarian,NA,b
10.82536052,191.9322152,Bavarian,NA,c
20.46262142,185.6634414,Bavarian,NA,c
36.4831356,188.224188,Bavarian,NA,c
23.88316223,191.0762972,Bavarian,NA,c
40.94881782,193.0720144,Bavarian,NA,c
31.02904817,195.98165,Bavarian,NA,c
23.63866671,185.5081277,Bavarian,NA,c
24.38679641,191.7647472,Bavarian,NA,c
23.94455038,184.0877927,Bavarian,NA,c
30.11963933,193.0299285,Bavarian,NA,c
14.01377579,193.2441459,Bavarian,NA,c
28.38920414,187.5596646,Bavarian,NA,c
59.63475581,192.8173674,Bavarian,NA,c
19.09588064,192.8957911,Bavarian,NA,c
38.23737418,189.0644148,Bavarian,NA,c
27.0081432,190.6611123,Bavarian,NA,c
